Länder;KW1;KW2;KW3;KW4;KW5;KW6;KW7;KW8;KW9;KW10;KW11;KW12;KW13;KW14;KW15;KW16;KW17;KW18;KW19;KW20;KW21;KW22;KW23;KW24;KW25;KW26;KW27;KW28;KW29;KW30;KW31;KW32;KW33;KW34;KW35;KW36;KW37;KW38;KW39;KW40;KW41;KW42;KW43;KW44;KW45;KW46;KW47;KW48;KW49;KW50;KW51;KW52;KW1
australien;0.00000;0.00000;0.00000;0.01555;0.01944;0.01166;0.00000;0.00000;0.04666;0.19051;0.85925;4.86781;9.46734;6.62131;2.44168;1.14697;0.40435;0.41991;0.48989;0.41213;0.23328;0.34215;0.24495;0.27216;0.54044;1.12753;3.18429;5.43157;8.12208;11.14308;13.15319;11.97123;8.40202;5.27605;3.23095;2.23561;1.44246;0.85537;0.51322;0.40435;0.53266;0.44323;0.48989;0.29549;0.24883;0.32659;0.33048;0.26439;0.27216;0.25272;0.70762;0.54044;0.64930
österreich;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.15726;1.01094;8.49190;30.57534;58.47730;36.65221;21.27468;9.03107;5.34675;4.17855;3.07775;4.16732;2.93173;2.56105;1.92079;2.32516;2.60598;3.51583;7.03165;6.93056;8.51437;9.17709;9.34558;8.18862;15.01808;21.15112;21.48810;23.64478;43.67263;55.44448;53.70341;59.19619;80.57197;106.56437;179.77894;326.53382;486.06025;570.65352;485.61095;365.28655;266.46148;213.79148;184.11475;146.45160;155.86458
brazilien;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00095;0.00851;0.06716;0.65462;1.28181;3.25135;5.23224;7.78640;11.56277;18.31709;28.79245;37.07360;57.76700;71.72358;83.67657;83.18324;102.03245;123.35730;122.46334;123.74704;110.54205;151.68953;148.79671;142.72302;144.15618;125.62009;121.33573;130.17217;91.25627;101.30262;88.77117;86.54810;84.99196;61.19714;80.29799;71.69473;56.00700;94.11503;98.52805;115.09744;136.60013;141.14653;159.23186;116.20708;117.99309
china;0.00000;0.00000;0.00000;0.11160;1.01076;1.61104;2.13083;0.45201;0.20208;0.06188;0.01250;0.03000;0.04771;0.03333;0.03694;0.04660;0.00743;0.00361;0.00319;0.00306;0.00285;0.00354;0.00313;0.01000;0.01646;0.01285;0.00792;0.01708;0.02681;0.07410;0.09826;0.05611;0.04042;0.02222;0.01389;0.01132;0.00965;0.01194;0.00792;0.01014;0.01271;0.01111;0.01243;0.01708;0.01861;0.01285;0.01847;0.04847;0.05299;0.05215;0.05014;0.04042;0.03667
deutschland;0.00000;0.00000;0.00000;0.00000;0.01203;0.00481;0.00241;0.00000;0.13718;1.09507;5.72202;22.95788;44.79182;45.76173;33.37064;20.85439;15.14561;9.49940;7.47894;5.40313;4.76414;3.70878;2.81588;2.12756;4.51745;4.11673;3.40554;2.88327;3.38869;4.73165;5.47894;7.30205;9.28881;11.41637;10.60289;10.13598;12.04452;14.71480;14.89049;18.33213;29.76655;50.97714;83.06498;128.33694;166.39952;144.79182;155.74128;148.40433;167.09868;188.03851;197.53550;172.89651;150.73045
russland;0.00000;0.00000;0.00000;0.00000;0.00136;0.00000;0.00000;0.00000;0.00000;0.01022;0.03133;0.20707;0.79490;2.62584;7.07104;18.44765;25.94919;36.60377;51.08712;49.08657;42.72802;41.79688;41.70697;41.68245;37.88025;33.84238;31.82345;31.16477;30.15803;27.76514;26.02275;24.82188;23.84102;22.89285;22.57476;23.67550;25.06369;27.20114;32.22873;42.75322;56.29589;67.52742;76.85308;82.41673;92.48144;101.98828;110.14849;121.26694;128.92378;129.78407;130.39030;135.44513;125.17608
südafrika;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00503;0.08051;0.37404;1.68735;0.62898;0.86884;1.65213;2.32808;3.75210;5.42100;9.22509;11.85508;16.94062;26.16907;36.48608;45.72962;68.48708;98.31600;133.33110;147.74572;136.03656;110.78833;81.13720;46.10198;37.61825;25.63402;22.57799;18.91312;19.15129;16.02650;17.65012;18.75545;18.99027;20.25327;18.37471;17.53606;23.05602;27.93526;33.58437;45.05703;77.82456;102.24421;138.36129;161.58168
usa;0.00000;0.00000;0.00000;0.00152;0.00091;0.00121;0.00061;0.00061;0.00485;0.14757;0.81604;9.58850;33.00627;62.84355;66.70768;60.02364;62.78992;57.67916;51.76267;47.55401;47.46220;44.25230;43.74716;45.04985;56.39526;81.54571;103.31232;125.60559;141.15512;139.23214;131.21330;113.55535;107.91794;90.83573;89.17154;86.79798;73.79110;86.83737;92.60901;91.22633;106.00345;118.65034;149.41093;182.92627;244.48229;319.00427;365.52923;345.12984;421.13633;455.78619;457.35644;390.55544;452.73174
